Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct,Status
1789434875,204883513,35,0,0,0,0.00,0.25,OK
1789434876,204880140,32,1,1,0,0.00,1.25,OK
1789434877,204876298,38,1,1,0,0.00,0.75,OK
1789434878,204876154,35,1,0,0,0.00,1.99,OK
1789434879,204884343,35,0,1,0,0.00,0.75,OK
1789434880,204880188,46,0,0,0,0.00,1.01,OK
1789434881,204886034,37,0,0,0,0.00,0.25,OK
1789434882,204896150,30,0,0,0,0.00,0.75,OK
1789434883,204894079,31,0,0,0,0.00,0.50,OK
1789434884,204896487,49,1,1,0,0.00,1.51,OK
1789434885,204929468,28,0,0,0,0.00,0.50,OK
1789434886,204882918,38,0,0,0,0.00,1.50,OK
1789434887,204878086,30,1,1,0,0.00,1.00,OK
1789434888,204879661,33,0,0,0,0.00,0.00,OK
1789434889,204880714,32,0,0,0,0.00,0.25,OK
1789434890,204885779,51,0,0,0,0.00,0.51,OK
1789434891,204884072,47,0,0,0,0.00,0.51,OK
1789434892,204879918,36,0,0,0,0.00,0.50,OK
1789434893,204883367,44,0,0,0,0.00,1.25,OK
1789434894,204880515,49,0,1,0,0.00,1.01,OK
1789434895,204879329,35,0,0,0,0.00,0.25,OK
1789434896,204880591,31,0,0,0,0.00,0.50,OK
1789434897,204880291,33,0,0,0,0.00,0.75,OK
1789434898,204887126,45,0,0,0,0.00,1.01,OK
1789434899,204881722,47,0,0,0,0.00,1.25,OK
1789434900,204891265,41,0,0,0,0.00,0.50,OK
1789434901,204881433,45,0,0,0,0.00,0.51,OK
1789434902,204881237,33,0,0,0,0.00,0.25,OK
1789434903,204882708,18,0,0,0,0.00,0.25,OK
1789434904,204884751,53,0,0,0,0.00,1.01,OK
1789434905,204890753,19,0,0,0,0.00,0.50,OK
1789434906,204890296,58,1,1,0,0.00,1.26,OK
1789434907,204888694,97,0,0,0,0.00,2.02,OK
1789434908,204875477,65,0,0,0,0.00,0.76,OK
1789434909,204893041,65,0,0,0,0.00,1.26,OK
